battlevoice_chr028_050,"Ingrid:"
battlevoice_chr028_060,"Ingrid: Jeez... That's far too much power for one person to have."
battlevoice_chr029_028,"FLS Ryu: These fists crave your blood!"
battlevoice_chr031_100,"Ako: You won't get mad if you lose, right?"
battlevoice_chr031_101,"Ako: I'll win... at least once!"
battlevoice_chr031_102,"Ako: I won't let you touch Rusian!"
battlevoice_chr031_103,"Ako: I'm gonna blow up that pretty face of yours!"
battlevoice_chr031_110,"Ako: A real-life explosion!"
battlevoice_chr031_111,"Ako: I did it!"
battlevoice_chr031_112,"Ako: I-I'm so tired..."
battlevoice_chr031_113,"Ako: And that's a big win for Ako!"
battlevoice_chr031_122,"Ako: L-Level Up complete!"
battlevoice_chr031_123,"Ako: I-I've gained experience!"
battlevoice_chr032_600,"Hammer: Ah. I didn't know we're doing teams now."
battlevoice_chr039_050,"Hyde: I'm counting on you to lend me your strength, guys!"
battlevoice_chr039_051,"Hyde: One, two, three, fffour?... Alright, let's do it!"
battlevoice_chr039_100,"Hyde: C'mon out, Insulator!"
battlevoice_chr039_101,"Hyde: If you're gonna get in my way... I'll just mop you up!"
battlevoice_chr039_102,"Hyde: ...My power'll finish the job!"
battlevoice_chr039_103,"Hyde: Lemme show you... my power!"
battlevoice_chr039_108,"Hyde: I'm not gonna be the same old Hyde forever, y'know."
battlevoice_chr039_111,Hyde: Sure have. And I've got you to thank for it.
battlevoice_chr039_113,Hyde: H-Hey! Don't say stuff that people might get twisted!
battlevoice_chr039_115,"Hyde: Welp, I guess we gotta settle things, anyway."
battlevoice_chr039_118,Hyde: Yet another bastard who never learns...
battlevoice_chr039_121,Hyde: What can I say? I'm a rebel. Nothing personal.
battlevoice_chr039_124,"Hyde: All right, time to drop the curtain!"
battlevoice_chr039_127,"Hyde: Tch. Can't believe I'm stuck with you, apparently."
battlevoice_chr039_130,"Hyde: ...Can't you just play nice and back down, already?"
battlevoice_chr039_133,Hyde: I didn't wanna fight you.
battlevoice_chr039_136,Hyde: You just might be the hardest one to deal with of all...
battlevoice_chr039_138,Hyde: Yeesh. Y'know what the scariest thing about you is? You almost look human.
battlevoice_chr039_151,Hyde: The wind's... pretty rough...
battlevoice_chr039_152,"Hyde: What...? All show and no substance, huh?"
battlevoice_chr039_155,Hyde: Just take a nap there.
battlevoice_chr039_156,Hyde: I guess this means I've grown.
battlevoice_chr039_157,Hyde: This is... my power...
battlevoice_chr039_160,Hyde: Th-That was a close one...
battlevoice_chr039_164,Hyde: Y'know... That wasn't as big a deal as I thought.
battlevoice_chr039_169,Hyde: See how I've grown? Leave the rest to me.
battlevoice_chr039_171,"Hyde: Sorry, Harada! I'll make it up to you sometime!"
