__dofile__("./script/btl_SEDefine.txt"); //SE Constant

SeList_Table <-
{
	TableNum = 1, // For program side reference in SE_Select and etc, put the maximum value in the table.
	UseTable = 0, // How many tables to use
	Path = [], // Simplified path setting
	Status = [], // Array used for actual playback
};


SeList_Table.Path.append( "./se/normal_se/" ); // 0: Global SE
SeList_Table.Path.append( "./se/battle_se/Ako/" ); // 1: Character Voice
SeList_Table.Path.append( "./se/battle_se/" ); // 2: Battle SE

SeList_Table.Status.resize(650); // 確保
local st = SeList_Table.Status; // 登録しやすいように省略


st[90] = { volumetype=1, path=1, file="Ako00_2076", type=0, category=1}; // リア充ネットゲーマー……敵ですね。
st[91] = { volumetype=1, path=1, file="Ako00_2077", type=0, category=1}; // あ、ニート師匠！こんにちわー！！
st[92] = { volumetype=1, path=1, file="Ako00_2079", type=0, category=1}; // 可愛いは……正義です！
st[93] = { volumetype=1, path=1, file="Ako00_2080", type=0, category=1}; // 人生って超難関クエストですね……


st[100] = { volumetype=1, path=1, file="Ako00_2000", type=0, category=1}; // 負けても怒られないですよね？
st[101] = { volumetype=1, path=1, file="Ako00_2001", type=0, category=1}; // 私だって一度ぐらいは勝ってみせます！
st[102] = { volumetype=1, path=1, file="Ako00_2002", type=0, category=1}; // ルシアンには手を出させません！
st[103] = { volumetype=1, path=1, file="Ako00_2003", type=0, category=1}; // そのきれいな頭をふっとばしてやります！

st[110] = { volumetype=1, path=1, file="Ako00_2100", type=0, category=1}; // リア充だいばくはつです！
st[111] = { volumetype=1, path=1, file="Ako00_2101", type=0, category=1}; // やりましたー！
st[112] = { volumetype=1, path=1, file="Ako00_2102", type=0, category=1}; // つ、疲れましたー
st[113] = { volumetype=1, path=1, file="Ako00_2103", type=0, category=1}; // アコちゃん大勝利ですね！

st[122] = { volumetype=1, path=1, file="Ako00_2152", type=0, category=1}; // れ、レベルアップしました！
st[123] = { volumetype=1, path=1, file="Ako00_2153", type=0, category=1}; // せ、成長しましたー！

st[130] = { volumetype=1, path=1, file="Ako00_2200", type=0, category=1}; // たはー……。
st[131] = { volumetype=1, path=1, file="Ako00_2201", type=0, category=1}; // 時すでに時間切れです……。

st[140] = { volumetype=1, path=1, file="Ako00_2300", type=0, category=1}; // は 
st[141] = { volumetype=1, path=1, file="Ako00_2301", type=0, category=1}; // よ 2a
st[142] = { volumetype=1, path=1, file="Ako00_2302", type=0, category=1}; // ふ
st[143] = { volumetype=1, path=1, file="Ako00_2303", type=0, category=1}; // や 5a
st[144] = { volumetype=1, path=1, file="Ako00_2304", type=0, category=1}; // た 

st[150] = { volumetype=1, path=1, file="Ako00_2400", type=0, category=1}; // えいっ
st[151] = { volumetype=1, path=1, file="Ako00_2401", type=0, category=1}; // ていっ 5b
st[152] = { volumetype=1, path=1, file="Ako00_2402", type=0, category=1}; // やあっ 2b
st[153] = { volumetype=1, path=1, file="Ako00_2403", type=0, category=1}; // せいっ 5b
st[154] = { volumetype=1, path=1, file="Ako00_2404", type=0, category=1}; // とうっ 2b
st[155] = { volumetype=1, path=1, file="Ako00_2405", type=0, category=1}; // てやっ
st[156] = { volumetype=1, path=1, file="Ako00_2406", type=0, category=1}; // はあっ

st[160] = { volumetype=1, path=1, file="Ako00_2500", type=0, category=1}; // えーいっ！ 5c
st[161] = { volumetype=1, path=1, file="Ako00_2501", type=0, category=1}; // とーっ！
st[162] = { volumetype=1, path=1, file="Ako00_2502", type=0, category=1}; // やぁーっ！ 5c
st[163] = { volumetype=1, path=1, file="Ako00_2503_c", type=0, category=1}; // えいやーっ！ 
